,seed,WRW
0,0,127283209819.18164
1,1,126901553486.99696
2,2,126946778550.89758
3,3,127614317636.16028
4,4,126408153906.40819
5,5,126972947975.10616
6,6,127590914796.58542
7,7,126347806161.86378
8,8,127249533571.76083
9,9,126814130961.53363
10,10,127442152902.46474
11,11,127431707473.94347
12,12,126413807868.46617
13,13,126938042354.20245
14,14,127094779258.52943
15,15,125480310939.90607
16,16,127948032464.67421
17,17,125891726268.25993
18,18,125312204736.17499
19,19,126878303279.20526
20,20,126509481749.91002
21,21,124511230418.9944
22,22,126853054127.53824
23,23,124700859996.07684
24,24,126398043299.53748
25,25,127557755671.12001
26,26,126489285509.2814
27,27,127106283711.18971
28,28,126744326390.56448
29,29,127000653925.2923
