,seed,WRW
0,0,3045182.363159455
1,1,3938323.1248886436
2,2,4782278.082666977
3,3,4378543.550955857
4,4,5167036.903381156
5,5,7411834.607794574
6,6,4626998.364929958
7,7,3345339.565586222
8,8,3328274.707804343
9,9,4639505.845872579
10,10,3858094.613015853
11,11,3147886.11956111
12,12,4839068.41190781
13,13,3416397.2304372313
14,14,6081964.330738849
15,15,4024424.9943289533
16,16,4372355.472881254
17,17,4773824.812968472
18,18,5507366.517210373
19,19,5381207.088423013
20,20,4858145.821232929
21,21,6872833.810913485
22,22,5521391.478339284
23,23,5152817.849533209
24,24,4231970.1900442075
25,25,5569983.344640262
26,26,4265174.686244077
27,27,5030042.912871318
28,28,3837058.286038125
29,29,4810352.193290322
