,seed,WRW
0,0,2376442.273442944
1,1,2406042.176534756
2,2,2539087.413771544
3,3,2273722.797779039
4,4,2375752.923840648
5,5,2439727.0960855195
6,6,2218832.694274478
7,7,2539087.413771544
8,8,2439727.0960855195
9,9,2233969.605759525
10,10,2375752.923840648
11,11,2279897.6426544767
12,12,2439727.0960855195
13,13,2279897.6426544767
14,14,2279897.6426544767
15,15,2218832.694274478
16,16,2147475.1385962036
17,17,2406042.176534756
18,18,2218832.694274478
19,19,2407743.7795969304
20,20,2233969.605759525
21,21,2406042.176534756
22,22,2406042.176534756
23,23,2279897.6426544767
24,24,2539087.413771544
25,25,2439727.0960855195
26,26,2375752.923840648
27,27,2233969.605759525
28,28,2279897.6426544767
29,29,2406042.176534756
