,seed,WRW
0,0,2783523.6991705066
1,1,2376442.273442944
2,2,2817397.5394249544
3,3,2315466.983048976
4,4,4006626.6403837116
5,5,2591290.193677742
6,6,2351400.282050287
7,7,2842780.7773140096
8,8,3125719.791840609
9,9,3005610.5192921464
10,10,2533814.937549542
11,11,2714002.0688421438
12,12,3976755.4317142265
13,13,3948966.518097532
14,14,2965665.083384807
15,15,3012001.389347774
16,16,4017240.223600149
17,17,4039678.2302824114
18,18,2514683.3820032813
19,19,2734424.6614984754
20,20,2968798.7794333687
21,21,2799481.998669343
22,22,3097326.0354109565
23,23,2873465.390366251
24,24,2414752.3223568182
25,25,3105540.8270156584
26,26,3960502.282488344
27,27,2550514.3883360587
28,28,4079805.5573070897
29,29,2595805.0002379357
